Date,Open,High,Low,Close,Adj Close,Volume
2000-10-02,21.672436,21.947765,21.239773,21.475771,13.976183,6009916
2000-10-03,21.633102,22.852423,21.534769,22.223097,14.462526,5761078
2000-10-04,22.262428,22.655758,22.085430,22.203430,14.449729,5348574
2000-10-05,22.124763,22.950754,22.105099,22.891756,14.897678,5243382
2000-10-06,22.931089,22.950754,22.478760,22.655758,14.744095,5167428
2000-10-09,22.577093,22.911423,21.869101,22.046099,14.347338,4289664
2000-10-10,22.124763,22.773758,21.987099,22.596760,14.705704,5977818
2000-10-11,22.498426,22.931089,22.321428,22.498426,14.641712,7166390
2000-10-12,22.459093,22.596760,21.220106,21.397104,13.924982,7409507
2000-10-13,21.318439,22.085430,21.279106,21.928099,14.270538,5623471
2000-10-16,21.967432,22.754091,21.888767,22.675425,14.756896,5026960
2000-10-17,22.754091,22.793425,21.928099,21.928099,14.270538,4155871
2000-10-18,21.888767,22.144430,21.338106,21.515104,14.001775,8593630
2000-10-19,21.161108,21.751101,20.138453,20.138453,13.105870,8704542
2000-10-20,19.391127,21.141441,18.840466,20.453115,13.310644,54523993
2000-10-23,20.649780,20.767778,19.823790,19.981119,13.003477,16488100
2000-10-24,20.138453,20.374449,19.941788,20.354782,13.246659,11852669
2000-10-25,20.394115,20.571114,19.981119,20.138453,13.105870,10445133
2000-10-26,20.295784,21.161108,20.256451,20.925110,13.617812,6841916
2000-10-27,21.082441,21.239773,20.649780,21.161108,13.771401,5466796
2000-10-30,21.239773,22.026432,21.220106,21.672436,14.104164,5975593
2000-10-31,21.711767,22.065765,21.200441,21.967432,14.296145,7522326
2000-11-01,21.770767,21.928099,21.377439,21.593769,14.052969,4221337
2000-11-02,21.672436,21.888767,21.397104,21.633102,14.078572,2740707
2000-11-03,21.475771,21.652769,20.630114,21.121775,13.745800,4449200
2000-11-06,21.298773,22.026432,21.259439,21.967432,14.296145,3990932
2000-11-07,21.947765,21.947765,21.239773,21.416773,13.937778,3379803
2000-11-08,21.416773,21.534769,21.121775,21.298773,13.860988,4841683
2000-11-09,21.377439,21.613436,21.023441,21.377439,13.912184,3853007
2000-11-10,21.338106,21.515104,20.512115,20.826778,13.553823,4398988
2000-11-13,20.610447,21.003777,20.551447,20.787445,13.528220,3917521
2000-11-14,20.826778,21.357773,20.826778,21.180775,13.784202,4207990
2000-11-15,21.161108,21.338106,20.984110,21.102108,13.779065,4348457
2000-11-16,21.259439,21.672436,21.121775,21.574102,14.087254,3991250
2000-11-17,21.692102,22.085430,21.574102,21.829767,14.254205,4199409
2000-11-20,21.849434,22.026432,21.456104,21.711767,14.177155,4068158
2000-11-21,21.947765,22.557426,21.731436,22.026432,14.382626,7431117
2000-11-22,21.869101,22.262428,21.692102,22.085430,14.421142,5952076
2000-11-24,22.026432,22.636091,22.026432,22.636091,14.780705,2516340
2000-11-27,22.891756,22.891756,21.790434,22.006765,14.369778,6649965
2000-11-28,22.006765,22.006765,21.456104,21.515104,14.048736,5699425
2000-11-29,21.751101,21.987099,21.751101,21.829767,14.254205,5098783
2000-11-30,21.790434,22.577093,21.672436,22.282097,14.549562,7184505
2000-12-01,22.144430,22.636091,22.026432,22.183764,14.485353,6554625
2000-12-04,22.183764,22.931089,21.928099,22.832756,14.909124,10498841
2000-12-05,23.206419,23.875078,23.127752,23.875078,15.589731,11460821
2000-12-06,23.894745,24.288074,23.639080,23.717747,15.487000,8797975
2000-12-07,23.501415,23.737413,23.422750,23.698080,15.474156,6502188
2000-12-08,23.914412,24.248741,23.481750,23.540749,15.371423,9075732
2000-12-11,23.560415,23.658749,22.636091,22.734425,14.844911,8501786
2000-12-12,22.852423,23.580082,22.734425,23.127752,15.101743,9234632
2000-12-13,23.403084,23.580082,22.537760,22.537760,14.716502,6453565
